,Guadeloupe,Martinique,Guyane,La Réunion,Mayotte,Île-de-France,Centre-Val de Loire,Bourgogne-Franche-Comté,Normandie,Hauts-de-France,Grand Est,Pays de la Loire,Bretagne,Nouvelle-Aquitaine,Occitanie,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur,Corse
0,96,283,0,0,0,30248,4529,7114,12559,10190,11895,7002,4534,17068,12582,12438,6951,988
1,96,283,0,0,0,40696,6429,9762,15645,13280,15648,9578,7272,22376,17779,18504,11392,1094
2,197,376,0,0,0,50881,8085,14102,18971,17763,20692,12354,10574,28428,23743,24979,14769,1252
3,187,452,29,0,0,61173,9836,18422,23599,24870,28256,15326,13967,34689,31897,32705,21372,1436
4,345,551,76,305,0,72491,12193,22405,29060,29895,35802,17780,17659,42287,39278,41494,25510,1599
5,430,684,117,305,0,77012,12722,24638,30907,31474,38633,18471,18662,43949,41537,43340,28408,1757
6,430,728,145,336,0,77897,13017,24805,31488,32494,39131,18833,18911,44767,42287,45378,29322,2158
7,430,739,145,408,0,87118,15301,28747,35905,36537,44021,20515,21645,52036,49087,51631,33262,2346
8,588,1726,198,702,0,101920,19363,34782,45199,46444,49888,25187,25598,64465,57247,63597,45978,2782
9,781,1030,348,1014,0,119695,22808,42588,50603,55219,60675,31167,31313,73498,69616,77667,51207,3548
10,781,1169,477,1461,0,131964,28877,52195,57288,67367,72943,37332,38524,89139,84201,90883,64784,4182
11,1085,1298,581,1990,0,156132,39609,59612,59865,77140,85632,48449,47473,104256,96615,104232,74592,4578
12,1229,1522,647,2156,0,167597,40480,63312,61513,81878,86973,52380,50857,106040,100080,110047,76681,5328
13,1299,1643,1651,2156,0,169828,40652,63626,62056,83416,88633,54279,51086,108913,101316,111416,79573,5328
